column id ,Utility ID,Utility Name,Plant Name,State,,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Operating Month,Operating Year,Operating_Date,Retirement Month,Retirement Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Bifacial?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
3967,62900,Caden Energix Rives Road LLC,Caden Energix Rives Road LLC,VA,Virginia,Prince George,ENX01,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,19.7,5,2020,2020-05-01,N/A,N/A,,Y,,,,,,,,,,60.0, ,20.9,,Y,,,,,N, ,N, 
3968,61227,Nautilus Solar Solutions,Gibbons CSG,MD,Maryland,Worcester,15122,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,12,2019,2019-12-01,N/A,N/A,,Y,,,,,,,,,,90.0,25.0,2.5,Y,,,,,,N, ,Y,2.0
3969,62902,"Highline Services, LLC",Riverview Solar,CO,Colorado,Logan,RIVER,OP,Solar Photovoltaic,PV,Electric Utility,1,1.5,11,2019,2019-11-01,N/A,N/A,,Y,,,,,,,,,,135.0,0.0,1.9,Y,,,,,,N, ,N, 
3970,20860,Wisconsin Public Service Corp,Two Creeks Solar,WI,Wisconsin,Manitowoc,1,OP,Solar Photovoltaic,PV,Electric Utility,1,150.0,11,2020,2020-11-01,N/A,N/A,,Y,,,,,,,,,,0.0,0.0,213.0,Y,,,,,,N, ,N, 
3971,61227,Nautilus Solar Solutions,Dover CSG,NY,New York,Dutchess,21,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,9,2019,2019-09-01,N/A,N/A,,Y,,,,,,,,,,90.0,7.0,3.1,Y,,,,,,N, ,Y,3.0
3972,61227,Nautilus Solar Solutions,Howell CSG,NY,New York,Orange,1725,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,2,2020,2020-02-01,N/A,N/A,,Y,,Y,,,,,,,,90.0,25.0,3.0,Y,,,,,,N, ,Y,3.0
3973,61227,Nautilus Solar Solutions,Strauss CSG,NY,New York,Seneca,30,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,9,2019,2019-09-01,N/A,N/A,,Y,,,,,,,,,,90.0,7.0,3.1,Y,,,,,,N, ,Y,3.0
3974,6452,Florida Power & Light Co,Discovery Solar Center,FL,Florida,Brevard,1,OP,Solar Photovoltaic,PV,Electric Utility,1,74.5,5,2021,2021-05-01,N/A,N/A,,,,Y,,,,,,,,180.0,20.0,98.3,Y,,,,,,N, ,N, 
3975,6452,Florida Power & Light Co,Sabal Palm Solar Center,FL,Florida,Palm Beach,1,OP,Solar Photovoltaic,PV,Electric Utility,1,74.5,4,2021,2021-04-01,N/A,N/A,,,,Y,,,,,,,,180.0,20.0,113.4,Y,,,,,,N, ,N, 
3976,61227,Nautilus Solar Solutions,Ellsworth I CSG,NY,New York,Saratoga,22,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.0,9,2019,2019-09-01,N/A,N/A,,Y,,N,,,,,,,,90.0,7.0,3.1,Y,,,,,,N, ,Y,3.0
3977,62915,Madison Energy Holdings LLC,Dakota Community Solar One LLC CSG,MN,Minnesota,Dakota,52838,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,,,Y,,,,,,,,180.0,30.0,1.4,Y,,,,,,N, ,Y,1.4
3978,62915,Madison Energy Holdings LLC,Douglas Todd Community Solar One LLC CSG,MN,Minnesota,Douglas,52834,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,,,Y,,,,,,,,180.0,30.0,1.4,Y,,,,,,N, ,Y,1.4
3979,62915,Madison Energy Holdings LLC,Meeker Community Solar One LLC CSG,MN,Minnesota,Meeker,52824,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,,,Y,,,,,,,,180.0,30.0,1.4,Y,,,,,,N, ,Y,1.4
3980,62915,Madison Energy Holdings LLC,McLeod Community Solar One LLC CSG,MN,Minnesota,McLeod,52832,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,,,Y,,,,,,,,180.0,30.0,1.4,Y,,,,,,N, ,Y,1.4
3981,62915,Madison Energy Holdings LLC,Nicollet Community Solar One LLC,MN,Minnesota,Nicollet,52828,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,7,2020,2020-07-01,N/A,N/A,,,,Y,,,,,,,,180.0,30.0,1.4,Y,,,,,,N, ,Y,1.4
3982,62915,Madison Energy Holdings LLC,Stearns Community Solar One LLC CSG,MN,Minnesota,Stearns,52825,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,,,Y,,,,,,,,180.0,30.0,1.4,Y,,,,,,N, ,Y,1.4
3983,62915,Madison Energy Holdings LLC,Sherburne Community Solar One LLC CSG,MN,Minnesota,Sherburne,52814,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,12,2019,2019-12-01,N/A,N/A,,,,Y,,,,,,,,180.0,30.0,1.4,Y,,,,,,N, ,Y,1.4
3984,62905,"Syncarpha Taos I, LLC",Syncarpha Taos,NM,New Mexico,Taos,SYNTA,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.1,5,2020,2020-05-01,N/A,N/A,,Y,,,,,,,,,,180.0, ,4.2,Y,,,,,,N, ,N, 
3985,62904,"Syncarpha El Rito I, LLC",Syncarpha El Rito,NM,New Mexico,Rio Arriba,SYNEL,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.6,12,2019,2019-12-01,N/A,N/A,,Y,,,,,,,,,,180.0, ,2.0,Y,,,,,,N, ,N, 
3986,62906,"Syncarpha Questa I, LLC",Syncarpha Questa,NM,New Mexico,Taos,SYNQU,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.6,1,2020,2020-01-01,N/A,N/A,,Y,,,,,,,,,,180.0, ,2.1,Y,,,,,,N, ,N, 
3987,62911,Drew Solar LLC,Drew Solar LLC,CA,California,Imperial,DS,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,100.0,11,2022,2022-11-01,N/A,N/A,,Y,,,,,,,,,,180.0,60.0,137.7,Y,,,,,,N, ,N, 
